repository,stars,created_at,age_days,age_years,total_accepted_pull_requests,total_releases,pushed_at,days_since_last_update,primary_language,issues_open,issues_closed,issues_closed_ratio
ionic-team/ionic-framework,52618,2013-08-20T23:06:02Z,4745,12.99,6783,948,2026-08-17T23:03:38Z,0,TypeScript,586,21604,0.974
jesseduffield/lazydocker,52522,2019-05-18T08:53:50Z,2649,7.25,195,47,2026-04-19T02:51:06Z,121,Go,197,216,0.523
hesreallyhim/awesome-claude-code,52520,2025-04-19T20:55:59Z,485,1.33,221,0,2026-08-18T12:08:46Z,0,Python,880,1134,0.563
lllyasviel/Fooocus,52380,2023-08-09T18:43:40Z,1104,3.02,448,21,2025-12-01T19:17:07Z,259,Python,247,1421,0.852
prettier/prettier,52202,2016-11-29T17:13:37Z,3548,9.71,10227,144,2026-08-18T12:35:01Z,0,JavaScript,1165,6158,0.841
xai-org/grok-1,52151,2024-03-17T08:53:38Z,884,2.42,5,0,2024-08-30T04:17:25Z,718,Python,0,0,N/A
etcd-io/etcd,52121,2013-07-06T21:57:21Z,4790,13.11,10614,292,2026-08-15T20:50:28Z,2,Go,117,7130,0.984
VoltAgent/awesome-openclaw-skills,52021,2026-01-25T09:22:32Z,205,0.56,149,0,2026-08-17T12:04:23Z,1,N/A,0,84,1.0
bmad-code-org/BMAD-METHOD,52016,2025-04-13T14:54:25Z,491,1.34,841,39,2026-08-18T08:34:11Z,0,JavaScript,100,975,0.907
google/guava,51884,2014-05-29T16:23:17Z,4463,12.22,1437,60,2026-08-18T03:34:40Z,0,Java,617,3051,0.832
anthropics/claude-cookbooks,51782,2023-08-15T20:23:51Z,1098,3.01,198,0,2026-08-14T20:50:15Z,3,Jupyter Notebook,77,138,0.642
dkhamsing/open-source-ios-apps,51731,2015-01-26T23:32:34Z,4221,11.56,1711,37,2026-08-17T13:19:29Z,0,N/A,0,357,1.0
run-llama/llama_index,51724,2022-11-02T04:24:54Z,1385,3.79,7942,432,2026-08-17T21:24:42Z,0,Python,172,7077,0.976
expo/expo,51668,2016-08-15T17:14:25Z,3654,10.0,23820,0,2026-08-18T12:46:16Z,0,TypeScript,289,18980,0.985
Avik-Jain/100-Days-Of-ML-Code,51647,2018-07-05T09:11:43Z,2966,8.12,6,0,2023-12-29T07:57:53Z,963,N/A,0,0,N/A
jekyll/jekyll,51636,2008-10-20T06:29:03Z,6511,17.83,3205,112,2026-08-03T17:55:37Z,14,Ruby,130,4809,0.974
dbeaver/dbeaver,51467,2015-10-21T08:26:28Z,3954,10.83,7343,254,2026-08-18T12:33:34Z,0,Java,3224,17278,0.843
charlax/professional-programming,51429,2015-11-07T05:07:52Z,3937,10.78,44,0,2026-07-15T15:55:09Z,33,Python,1,32,0.97
poteto/hiring-without-whiteboards,51381,2017-03-15T05:09:01Z,3443,9.43,1335,0,2026-06-06T02:10:59Z,73,JavaScript,0,0,N/A
DefinitelyTyped/DefinitelyTyped,51375,2012-10-05T16:39:45Z,5064,13.86,53487,1,2026-08-18T07:16:53Z,0,TypeScript,557,7561,0.931
ethereum/go-ethereum,51291,2013-12-26T13:05:46Z,4617,12.64,9277,232,2026-08-18T01:40:11Z,0,Go,196,8520,0.978
justjavac/wechat-miniapp-radar,51182,2016-09-22T20:04:48Z,3616,9.9,313,0,2026-08-07T01:04:58Z,11,TypeScript,0,35,1.0
Semantic-Org/Semantic-UI,51025,2013-04-08T23:32:04Z,4879,13.36,356,154,2024-11-27T21:01:48Z,628,JavaScript,964,5269,0.845
cypress-io/cypress,50981,2015-03-04T00:46:28Z,4185,11.46,8849,401,2026-08-18T04:01:41Z,0,TypeScript,1012,14548,0.935
jamiepine/voicebox,50727,2026-01-25T12:27:03Z,205,0.56,147,25,2026-08-09T00:03:42Z,9,TypeScript,491,191,0.28
CherryHQ/cherry-studio,50713,2024-05-24T01:56:26Z,816,2.23,4884,276,2026-08-18T12:46:17Z,0,TypeScript,871,10234,0.922
nlohmann/json,50394,2013-07-04T08:47:49Z,4793,13.12,1155,45,2026-08-13T15:48:13Z,4,C++,35,2373,0.985
bannedbook/fanqiang,50391,2015-01-14T00:34:25Z,4234,11.59,3,3,2026-08-12T11:06:00Z,6,Kotlin,334,502,0.6
mastodon/mastodon,50216,2016-02-22T15:01:25Z,3829,10.48,20634,360,2026-08-18T10:28:28Z,0,Ruby,4320,8778,0.67
diegosouzapw/OmniRoute,50197,2026-02-13T12:38:31Z,186,0.51,5410,278,2026-08-18T12:11:06Z,0,TypeScript,319,3213,0.91
TanStack/query,50152,2019-09-10T19:23:58Z,2533,6.93,3811,1000,2026-08-18T11:49:54Z,0,TypeScript,69,2279,0.971
skylot/jadx,50115,2013-03-18T17:08:21Z,4900,13.42,652,35,2026-08-05T19:19:01Z,12,Java,428,1690,0.798
serhii-londar/open-source-mac-os-apps,50070,2017-11-03T02:35:33Z,3210,8.79,615,0,2026-04-15T22:47:24Z,124,N/A,23,211,0.902
jgthms/bulma,50054,2016-01-23T23:48:34Z,3859,10.57,646,22,2026-03-01T20:13:02Z,169,CSS,349,2403,0.873
AlistGo/alist,50053,2020-12-23T17:40:29Z,2063,5.65,974,149,2026-08-05T08:04:29Z,13,Go,523,3973,0.884
chenglou/pretext,49924,2026-03-07T21:06:28Z,163,0.45,7,0,2026-06-23T05:01:09Z,56,TypeScript,46,50,0.521
tldraw/tldraw,49833,2021-05-09T11:48:37Z,1927,5.28,5473,134,2026-08-18T12:29:24Z,0,TypeScript,373,2293,0.86
huginn/huginn,49811,2013-03-10T06:00:31Z,4909,13.44,1179,1,2026-08-15T05:06:36Z,3,Ruby,613,1580,0.72
NARKOZ/hacker-scripts,49800,2015-11-21T19:05:09Z,3922,10.74,63,0,2023-10-23T21:01:40Z,1029,JavaScript,38,68,0.642
Lordog/dive-into-llms,49640,2024-04-08T13:11:40Z,861,2.36,11,1,2025-10-10T06:25:48Z,312,Jupyter Notebook,9,17,0.654
jakevdp/PythonDataScienceHandbook,49631,2016-08-10T14:24:36Z,3659,10.02,28,0,2024-06-26T19:17:33Z,782,Jupyter Notebook,126,84,0.4
pandas-dev/pandas,49511,2010-08-24T01:37:33Z,5838,15.98,29400,122,2026-08-18T08:55:12Z,0,Python,2612,25866,0.908
roboflow/supervision,49500,2022-11-28T14:08:44Z,1358,3.72,1377,40,2026-08-17T11:00:33Z,1,Python,40,503,0.926
kelseyhightower/kubernetes-the-hard-way,49489,2016-07-07T14:15:27Z,3693,10.11,73,0,2025-04-10T06:11:47Z,495,N/A,24,416,0.945
hashicorp/terraform,49477,2014-03-13T22:25:48Z,4540,12.43,13638,435,2026-08-18T12:45:22Z,0,Go,1758,19988,0.919
ChromeDevTools/chrome-devtools-mcp,49340,2025-09-11T10:39:55Z,341,0.93,1135,58,2026-08-18T12:05:07Z,0,TypeScript,76,429,0.85
ClickHouse/ClickHouse,49315,2016-06-02T08:28:18Z,3729,10.21,69041,825,2026-08-18T12:49:34Z,0,C++,4983,25389,0.836
astral-sh/ruff,49236,2022-08-09T17:17:44Z,1469,4.02,15982,423,2026-08-18T12:48:22Z,0,Rust,1688,6553,0.795
Homebrew/brew,49193,2016-03-06T05:08:38Z,3817,10.45,15224,509,2026-08-18T10:23:02Z,0,Ruby,0,5271,1.0
x64dbg/x64dbg,49187,2015-04-11T20:48:23Z,4146,11.35,825,6,2026-08-15T11:35:51Z,3,C++,571,2150,0.79
chen08209/FlClash,49138,2023-08-15T07:47:22Z,1099,3.01,2,106,2026-08-17T09:34:23Z,1,Dart,511,1510,0.747
GokuMohandas/Made-With-ML,49122,2018-11-05T03:44:27Z,2843,7.78,147,1,2026-03-04T23:44:21Z,166,Jupyter Notebook,18,59,0.766
apple/container,49039,2025-05-30T21:26:05Z,444,1.22,730,20,2026-08-14T03:03:12Z,4,Swift,293,570,0.66
JuliaLang/julia,49009,2011-04-21T07:01:50Z,5598,15.33,27788,203,2026-08-18T11:59:45Z,0,Julia,3622,22507,0.861
